"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - HR/2011/333";1;0;"132";"234";"S01";"Podliska J.";"NPÚ Praha";"2011";"B";0;"rs/vs";"novove";;;;;;"B"
"P1/PRAHA - HR/2011/333";2;0;"132";"234";"S02";"Podliska J.";"NPÚ Praha";"2011";"B";0;"rs/vs";"no.2";;;;;;"B"
"P1/PRAHA - HR/2011/333";3;0;"132";"234";"S03";"Podliska J.";"NPÚ Praha";"2011";"B";1;"rs.4";"rs/vs";"vstred";"novove";;;;"B"
"P1/PRAHA - HR/2011/789";1;0;"132";"234";"S01";"Podliska J.";"NPÚ Èeské Budìjovice";"2011";"B";0;"rs/vs";"novove";;;;;;"B"
"P1/PRAHA - HR/2011/789";2;0;"132";"234";"S02";"Podliska J.";"NPÚ Praha";"2011";"B";0;"rs/vs";"no.2";;;;;;"B"
"P1/PRAHA - HR/2011/789";3;0;"132";"234";"S03";"Podliska J.";"NPÚ Praha";"2011";"B";1;"rs.4";"rs/vs";"vstred";"novove";;;;"B"
"P1/PRAHA - JO/2007/139";1;0;"1/V";"34";"Sonda RŠ1";"Starec P.";"MM Praha";"2007";"B";1;"rs.hra";"rs/vs";;;;;;"B"
"P1/PRAHA - JO/2007/139";2;0;"1/V";"34";"Suterén a dvùr";"Starec P.";"MM Praha";"2007";"P";0;"vs.1";"vs-no";;;;;;"B"
"P1/PRAHA - JO/2007/684";1;0;"68/V";"9";"Suterény a dvùr";"Starec P.";"MM Praha";"2007";"P";0;"vs.1";"vs.2";"novove";;;;;"B"
"P1/PRAHA - JO/2011/208";1;0;;"123";"R11";"Havrda J.";"NPÚ Praha";"2011";"L";0;"no.1";"st-no";;;;;"Øez pøed jiní obvodovou zdí domu èp. 40, naproti Klausovì synagoze.";"B"
"P1/PRAHA - JO/2011/208";2;0;;"123";"R12";"Havrda J.";"NPÚ Praha";;"L";0;"novove";"st-no";;;;;"Øez pøed západní obvodovou zdí domu èp. 40.";"B"
"P1/PRAHA - JO/2011/208";3;0;;"123";"R13";"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"st-no";;;;;"Øez pøed západní obvodovou zdí domu èp. 40.";"B"
"P1/PRAHA - JO/2011/208";4;0;;"123";"R14";"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"st-no";;;;;"Øez situovanı jinì od domu èp. 42. Pravdìpodobá vıška povrchu podloí zjištìna geologickım vrtákem.";"B"
"P1/PRAHA - JO/2011/208";5;0;;"123";"M4";"Havrda J.";"NPÚ Praha";"2011";"L";0;"st-no";"no.2";;;;;"Po celé délce ulice bylo ve vıkopu pro vodovod zamìøeno 45 kamennıch i cihlovıch pøedasanaèních zdí.";"B"
"P1/PRAHA - JO/2011/498";1;0;"14";"21";"S17";"Prokopová A.";"NPÚ Praha";"2011";"O";0;"vs.1";;;;;;"1 = Komp. A.";"B"
"P1/PRAHA - JO/2011/498";2;0;"14";"21";"S38";"Prokopová A.";"NPÚ Praha";"2011";"O";0;"vs.1";;;;;;"Komp. B - pec elezáøská v sondì S38.";"B"
"P1/PRAHA - JO/2011/498";3;0;"14";"21";"S32";"Prokopová A.";"NPÚ Praha";;"O";0;"vs.1";;;;;;"Komp. B - bøidlicové zdivo v sondì S32.";"B"
"P1/PRAHA - JO/2011/498";4;0;"14";"21";"S35";"Prokopová A.";"NPÚ Praha";"2011";"O";0;"vstred";;;;;;"Komp. B - pec potravináøská v sondì S35.";"B"
"P1/PRAHA - JO/2011/498";5;0;"14";"21";"S09";"Prokopová A.";"NPÚ Praha";"2011";"O";0;"?";;;;;;"Komp. C v sondì S09.";"B"
"P1/PRAHA - JO/2011/498";6;0;"14";"21";"S40";"Prokopová A.";"NPÚ Praha";"2011";"O";0;"no.1";;;;;;;"B"
"P1/PRAHA - JO/2011/513";1;0;;"110";"R17";"Havrda J.";"NPÚ Praha";"2011";"B";0;"vs-no";;;;;;"Øez pøed domem èp. 98. Ve vıkopu hlubokém 1,5 m zachyceny pouze novovìké naváky.";"B"
"P1/PRAHA - JO/2011/513";2;0;;"110";"R20";"Havrda J.";"NPÚ Praha";"2011";"L";0;"no.2";"st-no";;;;;"Øez dokumentovanı na køiovatce ulic Paøíské a Široké na rohu domu èp. 125.";"B"
"P1/PRAHA - JO/2011/513";3;0;;"110";"R21";"Havrda J.";"NPÚ Praha";"2011";"L";0;"no.2";;;;;;"Øez v Paøíské ulici pøed èp. 66.";"B"
"P1/PRAHA - JO/2011/513";4;0;;"110";;"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"st-no";;;;;;"B"
"P1/PRAHA - JO/2011/570";1;0;;"119/1";"R18";"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"st-no";;;;;"Øez pøed dome èp. 64.";"B"
"P1/PRAHA - JO/2011/570";2;0;;"119/1";"R19";"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"st-no";;;;;"Øez pøed severozápadním nároím domu èp. 64.";"B"
"P1/PRAHA - JO/2011/570";3;0;;"119/1";;"Havrda J.";"NPÚ Praha";"2011";"L";0;"novove";"st-no";;;;;;"B"
"P1/PRAHA - MA/2003/790";1;0;"425";"327/1";"Vjezd do garáí";"Starec P.";"MM Praha";"2002";"P";0;"rs/vs";"stredo";"novove";;;;;"B"
"P1/PRAHA - MA/2003/790";2;0;"425";"327/1";"Kanalizaèní šachta";"Starec P.";"MM Praha";"2003";"B";0;"stredo";"novove";;;;;;"B"
"P1/PRAHA - MA/2003/790";3;0;"425";"327/1";"Vodovodní pøípojka";"Starec P.";"MM Praha";"2003";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/129";1;0;;"742/1";"R01";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/138";1;0;;"1039/1";"sonda 1";"Cymbalak T.";"NPÚ Praha";"2010";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/179";1;0;"17/III";"108";"S1";"Èiháková J.";"NPÚ Praha";"2010";"L";0;;;;;;;;"B"
"P1/PRAHA - MA/2010/202";1;0;"563";"793";"R01";"Havrda J.";"NPÚ Praha";"2010";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - MA/2010/300";1;0;"158/III";"604";"S1";;"NPÚ Praha";"2010";"L";0;;;;;;;;"B"
