"KOD";"KATASTR";"OKRES";"CIS_KU";"FSU"
"CL/»ESK¡ LÕPA/1998/923";"MIMO“";"CL";94767;695254
"CL/»ESK¡ LÕPA/1998/923";"DOKSY";"CL";91271;628212
"CL/»ESK¡ LÕPA/1998/923";"DUB¡";"CL";91633;633291
"CL/»ESK¡ LÕPA/1998/923";"BLÕéEVEDLY";"CL";90298;605662
"DC/MIKUL¡äOVI/1997/310";"VELK› äENOV";"DC";98648;779768
"CL/JESTÿEBÕ  /1998/459";"PROVODÕN";"CL";96364;733865
"CL/JESTÿEBÕ  /1998/459";"⁄JEZD";"CL";98394;659070
"DC/VELK› äENO/1997/106";"äLUKNOV";"DC";97930;762890
"DC/VARNSDORF /1997/143";"RUMBURK";"DC";96833;743518
"DC/JIÿETÕN PO/1998/746";"SVOR";"CL";97854;761494
"DC/JETÿICHOVI/1997/457";"VYSOK¡ LÕPA";"DC";99128;659291
"PS/BABINA    /2000/953";"DOLNÕ HRADIäTÃ";"PS";91336;629146
"ME/VäETATY   /2000/017";"»E»ELICE";"ME";90840;618772
"MB/⁄JEZD     /2000/027";"LUäTÃNICE";"MB";94399;689106
"KL/KR¡LOVICE /2000/551";"TRPOMÃCHY";"KL";98174;768812
"PV/K¡RAN›    /1982/002";"TOUäE“";"PV";98126;520016
"NB/LYS¡ NAD L/1920/945";"PÿEROV NAD LABEM";"NB";96421;735035
"PV/MOCHOV    /1968/731";"PÿEROV NAD LABEM";"NB";96421;735035
"PV/MOCHOV    /1968/731";"SEDL»¡NKY";"PV";96973;619213
"PV/MOCHOV    /1968/731";"»EL¡KOVICE";"PV";90863;619159
"ME/BYäKOVICE /1988/543";"KOJETICE";"PV";93303;667854
"ME/BYäKOVICE /1988/543";"LOBKOVICE";"ME";94255;703664
"ME/LOBKOVICE /1993/057";"JIÿICE";"ME";92981;661031
"ME/KOPE»     /1996/926";"NETÿEBA";"ME";95197;704008
"ME/KLY       /1998/502";"TUH¡“";"ME";98271;771261
"ME/PÿÕVORY   /1999/943";"TIäICE";"ME";98103;767361
"ME/CHR¡ST    /1999/452";"TIäICE";"ME";98103;767361
"ME/BYäKOVICE /1999/508";"NERATOVICE";"ME";95170;703567
"PT/HUSINEC   /1996/340";"DVORY";"PT";91682;679518
"PT/éITN¡     /1996/144";"OBORA";"PT";95419;647616
"PT/ARNOäTKA  /1998/921";"HORNÕ VLTAVICE";"PT";92180;644595
"PT/KVILDA    /1998/445";"NOV… HUTÃ";"PT";95335;707902
"PT/MAHOUä    /1997/015";"NÃM»ICE";"PT";95134;689777
"PT/NOV… HUTÃ /1998/947";"KVILDA";"PT";93811;678350
"PT/OBORA     /1999/720";"éITN¡";"PT";99641;797260
"PT/DUB       /1999/508";"JAVORNICE";"PT";92831;633224
"P6/PRAHA - DE/2001/147";"PRAHA - VOKOVICE";"P6";96286;729418
"P0/PRAHA - VR/2001/650";"PRAHA - VINOHRADY";"P2";96284;727164
"P1/PRAHA - HR/2000/338";"PRAHA - MAL¡ STRANA";"P1";96240;727091
"BE/SUCHOMASTY/2001/532";"TM¡“";"BE";98110;767620
"P1/PRAHA - ST/2000/214";"PRAHA - NOV… MÃSTO";"P1";96249;727181
"P2/PRAHA - VI/2000/248";"PRAHA - éIéKOV";"P3";96294;727415
"NB/SLIBOVICE /2001/328";"BÃRUNICE";"NB";90171;603104
"NB/SLIBOVICE /2001/328";"VELK… V›KLEKY";"NB";98622;603163
"NB/VRBICE    /2001/830";"SENICE";"NB";97049;747441
"UO/BÃSTOVICE /2001/629";"CHOCE“";"UO";92561;651974
"KH/HOÿANY    /2001/831";"KUTN¡ HORA";"KH";93786;677710
"SM/HORKA U ST/2001/333";"NEDAÿÕé";"SM";95095;710440
"CR/ZAJE»ICE  /2001/528";"BÕTOVANY";"CR";90261;604895
"NA/NOV… MÃSTO/2001/524";"KR»ÕN";"NA";93602;706434
"UO/CHOCE“    /2001/613";"BÃSTOVICE";"UO";90178;603236
"HK/CHUDONICE /2001/054";"NOV› BYDéOV";"HK";95375;707163
"CK/KÿENOV    /1999/624";"KLADN…";"CK";93150;662038
"CK/KLADN…    /1999/644";"KÿENOV";"CK";93674;662046
"CH/TÿEBE“    /2000/253";"NOV› DRAHOV";"CH";95376;769541
"ME/Z¡LEZLICE /2000/212";"CHLUMÕN";"ME";92550;651842
"BN/TISEM     /2001/100";"PÿIBYäICE";"BN";96453;735817
"KH/NOV… DVORY/2001/428";"CÕRKVICE";"KH";90790;617750
"KH/STA“KOVICE/2001/608";"UHLÕÿSK… JANOVICE";"KH";98366;773212
"NB/BÃRUNI»KY /2001/102";"BÃRUNICE";"NB";90171;603104
"KH/»ERN… BUDY/2000/132";"VLKAN»ICE";"KO";98867;783943
"KL/SVINAÿOV  /1998/107";"SME»NO";"KL";97238;750841
"KO/STÿÕBRN¡ S/1998/952";"HRADOV… STÿIMELICE";"KO";92342;757675
"NB/OSEK      /2000/341";"KNÃéICE";"NB";93244;666921
"KH/KUTN¡ HORA/2001/822";"HOÿANY";"KH";92210;695971
"NB/PÕSTY     /2001/153";"PÕSTY";"NB";95880;721026
"KL/CHRéÕN    /2001/053";"UHY";"KL";98379;773506
"PT/BUDKOV    /2001/802";"VLACHOVO BÿEZÕ";"PT";98828;783293
"PI/BOUDY     /1999/855";"MIROTICE";"PI";94782;695505
"KT/MAL¡ VÕSKA/2001/326";"LUBY";"KT";94357;665975
"KT/POLE“     /2001/013";"ZDESLAV";"KT";99397;725161
"P5/PRAHA - RA/2001/244";"KOSOÿ";"PZ";93405;669971
"KO/»ERN… VODÃ/2001/357";"HRADEC U STÿÕBRN… SKALICE";"KO";92300;757667
"KO/STÿÕBRN¡ S/2001/412";"HRADEC U STÿÕBRN… SKALICE";"KO";92300;757667
"KO/STÿÕBRN¡ S/2001/412";"HRADOV… STÿÕMÃLICE";"KO";92342;757675
"KO/STÿÕBRN¡ S/2001/412";"KOSTELNÕ STÿÕMÃLICE";"KO";93430;757683
"DO/HLOHOV»ICE/2001/637";"SRBICE";"DO";97370;752916
"PJ/PARTOLTICE/2001/642";"RADOCHOVY";"PJ";96597;738191
"PJ/PARTOLTICE/2001/642";"VOJOVICE";"PJ";98918;784613
"RO/KÿÕäE     /2001/336";"STUPNO";"RO";97700;613550
"PJ/PÿEäTICE  /2000/629";"éEROVICE";"PJ";99599;796638
"PJ/SKO»ICE   /2000/806";"PÿEäTICE";"PJ";96438;735256
"TC/BOJE»NICE /2001/017";"BOR";"TC";90380;607304
"TC/BOJE»NICE /2001/017";"VYSO»ANY";"TC";99119;607398
"BE/DROZDOV   /1995/111";"TÿENICE";"BE";98246;770744
"BE/HÿEDLE    /1999/912";"ZDICE";"BE";99405;792446
"BE/CHODOU“   /1998/408";"ZDICE";"BE";99405;792446
"BE/LEVÕN     /1999/146";"»ERNÕN";"BE";90929;792420
"BE/NEUMÃTELY /1998/928";"RADOUä";"BE";96625;738697
"BE/OSEK      /1999/539";"KOM¡ROV";"BE";93340;668648
