"Y_JTSK";"X_JTSK";"NAZEV"
875;1000;"Aš"
475;1220;"Bánovce nad Bebravou"
725;1060;"Benešov"
750;1040;"Beroun"
475;1100;"Bílovec"
575;1140;"Blansko"
775;1100;"Blatná"
800;1080;"Blovice"
450;1080;"Bohumín"
575;1120;"Boskovice"
700;1020;"Brandıs nad Labem"
550;1280;"Bratislava"
575;1160;"Brno"
600;1000;"Broumov"
525;1060;"Bruntál"
575;1200;"Bøeclav"
550;1160;"Buèovice"
600;1120;"Bystøice nad Perštejnem"
500;1140;"Bystøice pod Hostınem"
450;1160;"Bytèa"
875;1040;"Ctiboø"
550;1240;"Èasta"
750;1160;"Èeské Budìjovice"
700;1180;"Èeské Velenice"
700;1040;"Èeskı Brod"
750;1180;"Èeskı Krumlov"
525;1320;"Èièov"
675;1160;"Daèice"
725;960;"Dìèín"
750;1060;"Dobøíš"
850;1080;"Domalice"
725;980;"Dubá"
525;1300;"Dunajská Streda"
675;940;"Frıdlant"
450;1120;"Frıdlant nad Ostravicí"
700;920;"Fukov"
525;1280;"Galanta"
825;1120;"Hartmanice"
650;1100;"Havlíèkùv Brod"
650;1060;"Heømanùv Mìstec"
625;1080;"Hlinsko"
500;1240;"Hlohovec"
750;1140;"Hluboká nad Vltavou"
550;1200;"Hodonín"
800;960;"Hora Svaté Kateøiny"
500;1080;"Horní Benešov"
775;1180;"Horní Planá"
800;1160;"Horní Vltavice"
650;1020;"Hoøice"
775;1060;"Hoøovice"
625;1040;"Hradec Králové"
500;1120;"Hranice"
625;1160;"Hrotovice"
675;1100;"Humpolec"
575;1180;"Hustopeèe"
875;1020;"Cheb"
800;980;"Chomutov"
650;1080;"Chotìboø"
475;1180;"Ilava"
825;980;"Jáchymov"
575;980;"Janovice"
625;1020;"Jaromìø"
625;1200;"Jaroslavice"
550;1020;"Javorník"
800;1020;"Jesenice"
525;1040;"Jeseník"
575;1100;"Jevíèko"
650;1000;"Jièín"
650;1120;"Jihlava"
500;1040;"Jindøichov"
700;1140;"Jindøichùv Hradec"
700;1120;"Kamenice nad Lipou"
825;1000;"Karlovy Vary"
850;1100;"Kdynì"
750;1020;"Kladno"
825;1100;"Klatovy"
500;1300;"Kolárovo"
675;1040;"Kolín"
500;1320;"Komárno"
575;1280;"Kopèany"
800;1040;"Kralovice"
725;1020;"Kralupy nad Vltavou"
850;980;"Kraslice"
750;1080;"Krásná Hora"
500;1060;"Krnov"
525;1140;"Kromìøí"
775;1040;"Køivoklát"
575;1020;"Kunšát"
675;1060;"Kutná Hora"
550;1220;"Kùty"
550;1180;"Kyjov"
675;1080;"Ledeè nad Sázavou"
450;1280;"Levice"
675;960;"Liberec"
750;1000;"Libochovice"
750;980;"Litomìøice"
600;1080;"Litomyšl"
550;1100;"Litovel"
725;920;"Lobendava"
775;1000;"Louny"
450;1140;"Makov"
575;1240;"Malacky"
825;1040;"Manìtín"
475;1320;"Marcelová"
850;1020;"Mariánské Láznì"
725;1000;"Mìlník"
600;980;"Mezimìstí"
600;1200;"Mikulov"
750;1100;"Milevsko"
700;980;"Mimoò"
700;1000;"Mladá Boleslav"
575;1080;"Moravská Tøebová"
650;1160;"Moravské Budìjovice"
600;1160;"Moravskı Krumlov"
575;1220;"Moravskı Svatı Ján"
775;980;"Most"
525;1200;"Myjava"
600;1020;"Náchod"
625;1140;"Námìš nad Oslavou"
525;1160;"Napajedla"
800;1100;"Nepomuk"
475;1260;"Nitra"
450;1240;"Nová Baòa"
700;1160;"Nová Bystøice"
625;1100;"Nové Mìsto na Moravì"
500;1200;"Nové Mesto na Váhom"
650;940;"Nové Mìsto pod Smrkem"
475;1300;"Nové Zámky"
700;960;"Novı Bor"
475;1120;"Novı Jièín"
675;1020;"Nymburk"
500;1100;"Odry"
525;1120;"Olomouc"
475;1080;"Opava"
450;1100;"Ostrava"
700;1100;"Pacov"
625;1060;"Pardubice"
900;980;"Pastviny"
675;1120;"Pelhøimov"
550;1260;"Pezinok"
500;1220;"Piešany"
750;1120;"Písek"
800;1180;"Plechy"
800;1060;"Plzeò"
600;1180;"Pohoøelice"
725;1200;"Pohoøí na Šumavì"
600;1100;"Polièka"
450;1180;"Pováská Bystrica"
725;1040;"Praha"
775;1140;"Prachatice"
450;1220;"Prievidza"
550;1120;"Prostìjov"
775;1200;"Pøední Vıtoò"
650;1040;"Pøelouè"
825;1080;"Pøeštice"
775;1080;"Pøíbram"
850;1060;"Pøimda"
625;960;"Ptaèí Kámen"
450;1260;"Pukanec"
750;940;"Rájec"
775;1020;"Rakovník"
575;1040;"Rokytnice v Orlickıch horách"
875;1080;"Rybník"
600;1040;"Rychnov nad Knìnou"
525;1080;"Rımaøov"
725;1080;"Sedlèany"
525;1220;"Senica"
525;1260;"Sereï"
500;1260;"Sládeèkovce"
725;1120;"Sobìslav"
675;1000;"Sobotka"
850;1000;"Sokolov"
575;1000;"Sonov"
825;1140;"Srní"
550;1040;"Staré Mìsto pod Snìníkem"
775;1120;"Strakonice"
825;1060;"Støíbro"
575;1260;"Stupava"
475;1060;"Sudice"
800;1120;"Sušice"
875;1060;"Svatá Kateøina"
500;1280;"Šala"
725;940;"Šluknov"
525;1100;"Šternberk"
900;1000;"Štítary"
450;1320;"Štùrovo"
550;1060;"Šumperk"
475;1280;"Šurany"
725;1100;"Tábor"
850;1040;"Tachov"
650;960;"Tanvald"
775;960;"Teplice"
600;1140;"Tišnov"
475;1240;"Topolèany"
475;1200;"Trenèín"
725;1180;"Trhové Sviny"
525;1240;"Trnava"
625;1000;"Trutnov"
650;1140;"Tøebíè"
725;1160;"Tøeboò"
675;1140;"Tøeš"
675;980;"Turnov"
525;1180;"Uherské Hradištì"
500;1180;"Uherskı Brod"
700;1060;"Uhlíøské Janovice"
750;960;"Ústí nad Labem"
600;1060;"Ústí nad Orlicí"
450;1200;"Valašská Bìlá"
475;1160;"Valašské Klobouky"
700;940;"Varnosdorf"
625;1120;"Velké Meziøíèí"
725;1140;"Veselí nad Lunicí"
525;1020;"Vidnava"
800;1140;"Vimperk"
700;1080;"Vlašim"
550;1300;"Vojka nad Dunajom"
775;1160;"Volary"
650;1180;"Vranov"
675;1180;"Vratìnín"
650;980;"Vrchlabí"
475;1140;"Vsetín"
550;1140;"Vyškov"
750;1200;"Vyšší Brod"
550;1080;"Zábøeh"
850;1120;"Zadní Chalupy"
500;1160;"Zlín"
625;1180;"Znojmo"
625;980;"acléø"
575;1060;"amberk"
800;1000;"atec"
450;1300;"eliezovce"
825;1020;"lutice"
