"Z_MAPA10";"ROHY";"X_JTSK";"Y_JTSK"
"01-11-01";"1_LH";909652,43;898025,98
"01-11-01";"2_PH";910370,10;893381,09
"01-11-01";"3_PD";914121,42;893988,03
"01-11-01";"4_LD";913403,28;898635,87
"01-11-02";"1_LH";910370,10;893381,09
"01-11-02";"2_PH";911087,78;888736,21
"01-11-02";"3_PD";914839,55;889340,18
"01-11-02";"4_LD";914121,42;893988,03
"01-11-03";"1_LH";911087,78;888736,21
"01-11-03";"2_PH";911805,46;884091,33
"01-11-03";"3_PD";915557,69;884692,33
"01-11-03";"4_LD";914839,55;889340,18
"01-11-04";"1_LH";911805,46;884091,33
"01-11-04";"2_PH";912523,13;879446,44
"01-11-04";"3_PD";916275,82;880044,48
"01-11-04";"4_LD";915557,69;884692,33
"01-11-05";"1_LH";912523,13;879446,44
"01-11-05";"2_PH";913240,81;874801,56
"01-11-05";"3_PD";916993,96;875396,63
"01-11-05";"4_LD";916275,82;880044,48
"01-11-06";"1_LH";913403,28;898635,87
"01-11-06";"2_PH";914121,42;893988,03
"01-11-06";"3_PD";917872,73;894594,96
"01-11-06";"4_LD";917154,14;899245,77
"01-11-07";"1_LH";914121,42;893988,03
"01-11-07";"2_PH";914839,55;889340,18
"01-11-07";"3_PD";918591,33;889944,14
"01-11-07";"4_LD";917872,73;894594,96
"01-11-08";"1_LH";914839,55;889340,18
"01-11-08";"2_PH";915557,69;884692,33
"01-11-08";"3_PD";919309,92;885293,33
"01-11-08";"4_LD";918591,33;889944,14
"01-11-09";"1_LH";915557,69;884692,33
"01-11-09";"2_PH";916275,82;880044,48
"01-11-09";"3_PD";920028,51;880642,52
"01-11-09";"4_LD";919309,92;885293,33
"01-11-10";"1_LH";916275,82;880044,48
"01-11-10";"2_PH";916993,96;875396,63
"01-11-10";"3_PD";920747,10;875991,71
"01-11-10";"4_LD";920028,51;880642,52
"01-11-11";"1_LH";917154,14;899245,77
"01-11-11";"2_PH";917872,73;894594,96
"01-11-11";"3_PD";921624,05;895201,89
"01-11-11";"4_LD";920905,00;899855,67
"01-11-12";"1_LH";917872,73;894594,96
"01-11-12";"2_PH";918591,33;889944,14
"01-11-12";"3_PD";922343,10;890548,11
