"KOD";"AUTORI";"TITUL";"MISTO";"CASOP";"ROCNIK";"ROK";"STR"
"KO/TUKLATY   /?   /449";"Preidel";"Germanen in Böhmen";;;;;"83"
"PV/ÚVALY     /1947/155";;;;"PA 1900 - 1901";"XIX";;"575"
"PV/ÚVALY     /1947/155";"Filip J.";"K problému kultury laténské v Èechách";;"PA XXXVIII (resp. II - nová øada)";;"1932";
"PV/NEHVIZDY  /1972/013";"Špaèek J.";;;"Vızkumy v Èechách 1972";;"1975";"118-119"
"PV/NEHVIZDY  /1930/342";"Sedláèek Z., Špaèek J.";;;"Vızkumy v Èechách";"1969";"1972";"85-88"
"PV/STARÁ BOLE/1985/004";"Turková D.";;;"Vızkumy v Èechách";"1984-85";"1987";"195"
"PV/STARÁ BOLE/1931/007";"Radomìrskı P., Richter M.";;;"SbNM, øada A, XXVIII, è. 2-4";;"1976";"70"
"PV/STARÁ BOLE/1987/146";"Kuna M.";;;"Vızkumy v Èechách 1986 - 1987";;"1989";"186"
"CV/KRBICE    /1994/937";"Smr Z.";"Mikroregion Hutné - historie, souèastnost a budoucnost vızkumu. In: Èech P. (ed.), Arch. vız. v SZ..";"Most";;;"1999";"209-217"
"PJ/STARİ PLZE/1982/329";"Beneš A.";;;"Vızkumy v Èechách 1982-1983";;"1985";"171"
"P9/PRAHA - KB/1954/457";"Justová J.";;;"ASM";"6";"1968";"85"
"P9/PRAHA - KB/1954/457";"Pleinerová I.";;;"ASM";"1";"1964";"72-79"
"P9/PRAHA - KB/1954/457";"Janská E.";;;"AR";"14";"1962";"698-701"
"PT/BRANIŠOV U/1825/847";;"Nálezy";;;;"1955";"181"
"PT/BRANIŠOV U/1825/847";"Beneš A.";;;;;"1979";"46"
"PS/NEBØEZINY /1982/517";"Baštová D.";"AR 36";;;;"1984";
"PS/OBORA     /1982/535";"Baštová D.";"AR 36";;;;"1984";
"PS/ONDØEJOV  /1982/259";"Baštová D.";"AR 36";;;;"1984";
"PS/ONDØEJOV  /1982/309";"Baštová D.";"AR 36";;;;"1984";
"PS/VŠERUBY   /1985/512";"Baštová D.";"AR 36";;;;"1984";"504-506"
"PS/DOLNÍ HRAD/    /785";"Baštová D.";"AR 1984,157-158,obr.1:14-15";;;;;
"DO/ŠTÍTARY   /1989/847";"Baštová D., Bašta J.";"Sborník Západoèes. muzea, Historie V (obr.8-15)";;;;"1990";"17-30"
"DO/SVRNO    /1985/639";"Baštová D., Bašta J.";"Sborník Západoèes. muzea, Historie V";;;;"1990";"10-13"
"TC/DARMYŠL   /1987/401";"Baštová D., Bašta J.";"Sborník Západoèes. muzea, Historie V";;;;"1990";"13-16"
"TC/KRTÍN     /1987/018";"Baštová D., Bašta J.";"Sborník Západoèes. muzea, Historie V";;;;"1990";"16-9, o.4"
"PJ/BUKOVÁ    /1987/011";"Baštová D., Bašta J.";"Roèenka Klubu Augusta Sedláèka";;;;"1987";"48 - 49"
"DO/BLÍEJOV  /1987/038";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"20"
"DO/MAŠOVICE  /1987/753";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"112"
"DO/MAŠOVICE  /1987/806";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"112"
"DO/MECLOV    /1987/609";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"112-113"
"KT/MALECHOV  /1987/330";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"111"
"PS/LÍŠANY   /1986/911";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"105"
"PS/LÍŠANY   /1986/918";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"105-6"
"PS/LÍŠANY   /1986/924";"Baštová D., Bašta J.";"BZO 1986-87";;;;"1989";"106"
