"PAPIROVA_NZ(od 2011)";"TEXT";"PDF";"CD";"PRIR_CISLO";"ROK_Z";"ROK_K";"KATASTR";"OKRES";"AUTOR_ZAA";"VEDOUCI";"TYP_ZPR_PUV";"LOKALITA"
;0;0;0;"TX201101725";2010;2010;"BROUMOV";"NA";"Novák R.";"Novák R.";"RZ";"Na Hradbách."
;0;0;0;"TX201101726";2010;2010;"BROUMOV";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Mírové námìstí èp. 104 a 105, stpè. 241, 243."
;0;0;0;"TX201101727";2010;2010;"BROUMOV";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Komenského."
;0;0;0;"TX201101728";2010;2010;"BROUMOV";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";"U Dolní brány èp. 72 a 73, ppè. 1051."
;0;1;0;"TX200914751";0;2009;"ÈERNÁ HORA V KRKONOŠÍCH";"TU";"Maèková M.";"Novák";"NZ";"akce Horní èistá Úpa"
;0;0;0;"TX201101738";2010;2010;"ÈERNİ DÙL";"TU";"Novák R.";"Novák R.";"RZ";"Ppè. 292."
;0;0;0;"TX201101743";2010;2010;"ÈESKÁ SKALICE";"NA";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Ppè. 890, 897, 901/4, 888/5, 901/3, 1946."
;1;0;0;"TX201005209";0;2009;"ÏÁBLICE";"P8";"Forró J.";"Kvietok M.";"NZ";"Ulice Legionáøù p.è. 234/2, 234/4, 234/5, 234/6"
;0;0;0;"TX201006990";2009;2009;"DOLNÍ KALNÁ";"TU";"Novák, M.";"Novák, M.";"RZ";
;0;0;0;"TX201007005";2009;2009;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Kuchaøík M.";"Kuchaøík, M.";"RZ";"Masarykovo nám. 2, na parc. è 82/1"
;1;0;0;"TX200909848";0;2009;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Maèková M.";"Kuchaøík M.";"NZ";"Masarykovo nám.èp.2,ppè.82/1"
;0;0;0;"TX201101752";2010;2010;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Novák R.";"Novák R.";"RZ";"Zátopkova, Tyršova."
"ano";1;0;1;"TX201501984";2009;2010;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Kuchaøík M.";"Kuchaøík M.";"NZ";"Masarykovo nám., rekonstrukce a pøístavba è.p. 83, p.p.è. 18."
;0;0;0;"TX201101753";2010;2010;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Novák R.";"Novák R.";"RZ";"Ppè. 45/58, stpè. 2387."
;0;0;0;"TX201101751";2010;2010;"DVÙR KRÁLOVÉ NAD LABEM";"TU";"Kuchaøík M.";"Kuchaøík M.";"RZ";"Námìstí T.G. Masaryka."
