"KOD";"NZ_C";"NZ_R";"DRUH_D";"INST_NZ";"POZN";"DA";"RADA";"CISLO"
"PV/BRAND›S NA/1927/519";"1307";"1935";"HLAS";"AR⁄ Praha";;1;"TX";193501307
"PV/BRAND›S NA/1927/519";"503";"1929";"HLAS";"AR⁄ Praha";;1;"TX";192900503
"PV/BRAND›S NA/1927/519";"546";"1929";"HLAS";"AR⁄ Praha";;1;"TX";192900546
"PV/BRAND›S NA/1927/519";"1786";"1942";"HLAS";"AR⁄ Praha";;1;"TX";194201786
"PV/BRAND›S NA/1927/519";"1782";"1942";"HLAS";"AR⁄ Praha";;1;"TX";194201782
"PV/BRAND›S NA/1927/550";"1793";"1942";"HLAS";"AR⁄ Praha";;1;"TX";194201793
"PV/BRAND›S NA/1927/550";"2674";"1932";"HLAS";"AR⁄ Praha";;1;"TX";193202674
"PV/BRAND›S NA/1903/555";"7580";"1950";"HLAS";"AR⁄ Praha";;1;"TX";195007580
"PV/BRAND›S NA/1903/555";"1302";"1935";"HLAS";"AR⁄ Praha";;1;"TX";193501302
"PV/BRAND›S NA/1949/609";"5855";"1952";"HLAS";"AR⁄ Praha";;1;"TX";195205855
"PV/BRAND›S NA/1939/614";"342";"1940";"HLAS";"AR⁄ Praha";;1;"TX";194000342
"PV/BRAND›S NA/1939/614";"1765";"1942";"HLAS";"AR⁄ Praha";;1;"TX";194201765
"PV/BRAND›S NA/1939/623";"472";"1937";"HLAS";"AR⁄ Praha";;1;"TX";193700472
"PV/DÿEV»ICE  /1935/142";"1297";"1935";"HLAS";"AR⁄ Praha";;1;"TX";193501297
"PV/DÿEV»ICE  /1935/142";"1892";"1930";"HLAS";"AR⁄ Praha";;1;"TX";193001892
"PV/DÿEV»ICE  /1935/142";"1787";"1942";"HLAS";"AR⁄ Praha";;1;"TX";194201787
"PV/DÿEV»ICE  /1935/142";"2683";"1932";"HLAS";"AR⁄ Praha";;1;"TX";193202683
"PV/DÿEV»ICE  /1932/606";"545";"1932";"HLAS";"AR⁄ Praha";;1;"TX";193200545
"PV/DÿEV»ICE  /1932/606";"812";"1932";"HLAS";"AR⁄ Praha";;1;"TX";193200812
"PV/DÿEV»ICE  /1931/611";"559";"1933";"HLAS";"AR⁄ Praha";;1;"TX";193300559
