"KOD";"OZN_K";"OZN_S"
"JC/BRADA     /2014/261";"A";"A"
"JC/BYSTØICE  /2015/354";"A";"A"
"JC/DÌTENICE  /2015/960";"A";"A"
"JC/DÌTENICE  /2015/960";"B";"B"
"JC/PODKOST   /2015/545";"B";"B"
"JC/PODKOST   /2015/545";"C";"C"
"JC/SOBÈICE   /2015/193";"A";"A"
"JC/ŽELEZNICE /2013/927";"B";"B"
"LN/LIBYNÌ    /2014/365";"C";"C"
"NB/KØEÈKOV   /2007/813";"B";"B"
"P8/PRAHA - ST/2014/953";"A";"A"
"PE/PELHØIMOV /2010/219";"A";"A"
"PE/PELHØIMOV /2015/219";"A";"A"
"PE/POØÍÈÍ U B/2012/219";"A";"A"
"PE/PROSEÈ U P/2015/219";"A";"A"
"PS/KRALOVICE /2012/131";"A";"A"
"PZ/HOLUBICE V/2012/975";"A";"A"
"PZ/STATENICE /2011/723";"A";"A"
"RA/KOZOJEDY  /2016/900";"A";"A"
"RA/LÁNY      /2015/580";"A";"A"
"RA/OLEŠNÁ U R/2012/918";"A";"A"
"RK/LUPENICE  /2014/452";"A";"A"
"RK/VELKÁ ÈERM/2014/376";"A";"A"
"TU/ÈISTÁ V KR/2014/807";"A";"A"
"TU/DOLNÍ KALN/2016/757";"A";"A"
"TU/DVÙR KRÁLO/2016/402";"B";"B"
"TU/DVÙR KRÁLO/2016/402";"C";"C"
"TU/HAVLOVICE /2015/291";"A";"A"
"TU/HAVLOVICE /2015/291";"B";"B"
"TU/HORNÍ STAR/2001/968";"B";"B"
"TU/CHOTÌVICE /2016/611";"A";"A"
"TU/CHOUSTNÍKO/2005/675";"A";"A"
"TU/KOCBEØE   /2015/631";"A";"A"
"TU/LIBOTOV   /2016/369";"A";"A"
"TU/LIBOTOV   /2016/466";"A";"A"
"TU/MARKOUŠOVI/2016/232";"A";"A"
"TU/MARKOUŠOVI/2016/835";"A";"A"
"TU/MARŠOV III/2015/658";"A";"A"
"TU/PILNÍKOV I/2016/994";"A";"A"
"TU/POØÍÈÍ U T/2015/724";"A";"A"
"TU/RUDNÍK    /2014/859";"A";"A"
"TU/RUDNÍK    /2014/859";"B";"B"
"TU/TRUTNOV   /2014/548";"A";"A"
"TU/TRUTNOV   /2015/159";"A";"A"
"TU/TRUTNOV   /2015/576";"A";"A"
"TU/TRUTNOV   /2016/424";"A";"A"
"TU/VELKÁ ÚPA /2015/823";"A";"A"
"TU/VELKÝ VØEŠ/2014/592";"B";"B"
"TU/VELKÝ VØEŠ/2017/864";"B";"B"
"TU/ŽACLÉØ    /2014/397";"A";"A"
