"KOD";"PORC_ADB";"PORC_SOUR";"X_JTSK";"Y_JTSK";"Z1";"Z2";"Z3";"SNIZ_POD";"OKRAJ";"V_SYST"
"P1/PRAHA - HR/2011/333";1;1;745117,0;1,042858e+06;294,13;292,36;292,85;1;0;
"P1/PRAHA - HR/2011/333";2;1;745126,0;1,042848e+06;294,22;292,40;292,82;1;0;
"P1/PRAHA - HR/2011/333";3;1;745116,0;1,042837e+06;294,14;291,03;292,18;1;0;
"P1/PRAHA - HR/2011/789";1;1;745117,0;1,042858e+06;294,13;292,36;292,85;1;0;
"P1/PRAHA - HR/2011/789";2;1;745126,0;1,042848e+06;294,22;292,40;292,82;1;0;
"P1/PRAHA - HR/2011/789";3;1;745116,0;1,042837e+06;294,14;291,03;292,18;1;0;
"P1/PRAHA - JO/2007/139";1;1;743122,4;1,042803e+06;;184,92;186,50;0;0;
"P1/PRAHA - JO/2007/139";2;1;743155,1;1,04277e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;2;743116,6;1,042786e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;3;743121,3;1,042797e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;4;743118,4;1,042799e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;5;743121,6;1,042806e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;6;743144,1;1,042797e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;7;743150,4;1,042811e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;8;743153,4;1,04281e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;9;743147,3;1,042796e+06;;;186,04;0;1;
"P1/PRAHA - JO/2007/139";2;10;743163,1;1,042789e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;11;743166,6;1,042797e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;12;743171,8;1,042795e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;13;743162,9;1,042774e+06;;;;0;1;
"P1/PRAHA - JO/2007/139";2;14;743157,4;1,042775e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;1;742910,5;1,042834e+06;;;185,46;0;1;
"P1/PRAHA - JO/2007/684";1;2;742904,9;1,042855e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;3;742906,3;1,042858e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;4;742934,1;1,042866e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;5;742939,8;1,042848e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;6;742940,3;1,042846e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;7;742940,3;1,042845e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;8;742940,5;1,042842e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;9;742932,7;1,04284e+06;;;;0;1;
"P1/PRAHA - JO/2007/684";1;10;742923,9;1,042838e+06;;;;0;1;
"P1/PRAHA - JO/2011/208";1;1;743050,0;1,042692e+06;189,35;187,92;0,00;0;0;
"P1/PRAHA - JO/2011/208";1;2;743045,0;1,042693e+06;189,19;187,75;0,00;0;0;
"P1/PRAHA - JO/2011/208";2;1;743048,0;1,042662e+06;189,59;187,95;0,00;0;0;
"P1/PRAHA - JO/2011/208";2;2;743051,0;1,042666e+06;189,60;187,75;0,00;0;0;
"P1/PRAHA - JO/2011/208";3;1;743032,0;1,042642e+06;189,84;188,30;0,00;0;0;
"P1/PRAHA - JO/2011/208";3;2;743029,0;1,042639e+06;189,87;188,30;0,00;0;0;
"P1/PRAHA - JO/2011/208";4;1;742996,0;1,042704e+06;188,71;187,25;185,80;0;0;
"P1/PRAHA - JO/2011/208";4;2;742997,0;1,042706e+06;188,70;187,32;0,00;0;0;
"P1/PRAHA - JO/2011/208";5;1;742983,0;1,042706e+06;0,00;0,00;0,00;0;0;
"P1/PRAHA - JO/2011/208";5;2;743055,0;1,042692e+06;0,00;0,00;0,00;0;0;
"P1/PRAHA - JO/2011/208";5;3;743060,0;1,042677e+06;0,00;0,00;0,00;0;0;
"P1/PRAHA - JO/2011/208";5;4;743018,0;1,042623e+06;0,00;0,00;0,00;0;0;
"P1/PRAHA - JO/2011/498";1;1;742993,0;1,042914e+06;186,50;184,50;0,00;0;0;
"P1/PRAHA - JO/2011/498";2;1;742978,2;1,042906e+06;186,60;185,80;184,76;1;0;
"P1/PRAHA - JO/2011/498";3;1;742982,1;1,042899e+06;186,70;185,76;0,00;0;0;
"P1/PRAHA - JO/2011/498";4;1;742981,7;1,042914e+06;186,48;185,36;0,00;0;0;
"P1/PRAHA - JO/2011/498";5;1;742983,1;1,04292e+06;186,35;185,80;0,00;0;0;
"P1/PRAHA - JO/2011/498";6;1;742978,1;1,042909e+06;186,70;185,78;0,00;0;0;
"P1/PRAHA - JO/2011/513";1;1;742933,0;1,042725e+06;189,76;188,20;0,00;0;0;
"P1/PRAHA - JO/2011/513";2;1;742911,0;1,042767e+06;189,84;187,70;0,00;0;0;
"P1/PRAHA - JO/2011/513";2;2;742909,0;1,042775e+06;189,94;187,80;0,00;0;0;
"P1/PRAHA - JO/2011/513";3;1;742912,0;1,042802e+06;189,90;188,17;0,00;0;0;
"P1/PRAHA - JO/2011/513";3;2;742911,0;1,042804e+06;189,90;188,15;0,00;0;0;
